Processor Speed,Processor Cores,RAM Gbs,Storage Gbs,Display Inches,GPU Model,USB Ports,Operating System,Weight,url,Battery mAh
,,16,512,15.6 inches,NVidia GeForce RTX,2,Windows,,https://www.pccomponentes.com/portatil-gigabyte-aorus-17-bsg-13es654sh-intel-core-ultra-7-155h-16gb-1tb-ssd-rtx-4070-173,
,8,16,512,14,NVidia RTX 4080 Ti,4,,,https://www.pccomponentes.com/gigabyte-aorus-17-xe4-73es514sh-intel-core-i7-12700h-16gb-1tb-ssd-rtx-3070ti-173,86000
3.20 GHz,8,32,512,15.6,NVidia RTX 4080 Ti,2,,,https://www.pccomponentes.com/gigabyte-aorus-17-ye5-74es544sh-intel-core-i7-12700h-32gb-1tb-ssd-rtx-3080ti-173,
,,,,,,,,,https://www.pccomponentes.com/gigabyte-aorus-17g-yd-73es345sh-intel-core-i7-11800h-32gb-512gb-ssd-rtx-3080-173,
,,,,,,,,,https://www.pccomponentes.com/gigabyte-aorus-17h-bxf-74es554sh-intel-core-i7-13700h-16gb-1tb-ssd-rtx-4080-173,
,,,,,,,,,https://www.pccomponentes.com/gigabyte-aorus-5-ke4-72es314sd-intel-core-i7-12700h-16gb-1tb-ssd-rtx-3060-156,
,,,,,,,,,https://www.pccomponentes.com/gigabyte-aorus-5-ke4-72es314so-intel-core-i7-12700h-16gb-1tb-ssd-rtx-3060-156,
1.5 GHz,8,16 GB,512 GB,15.6 inches,NVidia GeForce RTX 2060,3,Windows 10,,https://www.pccomponentes.com/gigabyte-aorus-5-se4-73pt213sh-intel-core-i7-12700h-16gb-512gb-ssd-rtx-3070ti-156-pt,
Not specified,8,16,512,15.6,NVidia GeForce RTX 4080 Ti,3,Not specified,,https://www.pccomponentes.com/portatil-gigabyte-aorus-7-9kf-g3es513sd-intel-core-i7-12650h-16gb-512gb-ssd-rtx-4060-173,
,,,,,,,,,https://www.pccomponentes.com/gigabyte-aorus-15-sa-7es0250d-intel-core-i7-9750h-16gb-512gb-ssd-gtx-1660ti-156,
,,,,,,,,,https://www.pccomponentes.com/gigabyte-g5-kc-5es1130sh-intel-core-i5-10500h-16gb-512gb-ssd-rtx-3060-156,
base speed,8,64,512,15.6,NVidia RTX 4080 Ti,3,Windows,2.5,https://www.pccomponentes.com/gigabyte-g5-kf-e3es313sh-intel-core-i5-12500h-16gb-512gb-ssd-rtx-4060-156,
2.5 GHz,8,16 GB,512 GB,15.6 inch,Nvidia GeForce RTX 4080 Ti,3,Windows,,https://www.pccomponentes.com/gigabyte-g5-kf5-53es353sd-intel-core-i5-13500h-16gb-512gb-ssd-rtx-4060-156,
,4,16,512,15.6,NVidia GeForce RTX 4080 Ti,2,Windows 11 Home,2.08,https://www.pccomponentes.com/gigabyte-g5-kf5-53es353sh-intel-core-i5-13500h-16gb-512gb-ssd-rtx-4060-156,54000
4.7 GHz,8 cores,16,1000,15.6 inches,NVidia GeForce RTX 4060 Laptop GPU,11,,1.9 kg,https://www.pccomponentes.com/gigabyte-g5-kf5-53es354sd-intel-core-i5-13500h-16gb-1tb-ssd-rtx-4060-156,
2.5 GHz,4,16,512,15.6,NVidia GeForce RTX 4080 Ti,2,FreeDOS,2.08,https://www.pccomponentes.com/gigabyte-g5-kf5-53pt353sd-intel-core-i5-13500h-16gb-512gb-ssd-rtx-4060-156-pt,
,,,,,,,,,https://www.pccomponentes.com/portatil-gigabyte-g5-kf5-53pt354sd-intel-core-i5-13500h-16gb-512gb-ssd-rtx-4060-156-pt,
,,,,,,,,,https://www.pccomponentes.com/gigabyte-g6-kf-h3pt854sd-intel-core-i7-13620h-16gb-1tb-ssd-rtx-4060-16-pt,
,2,8,512,,AMD Radeon RX 6800 XT,2,,,https://www.pccomponentes.com/portatil-gigabyte-g6x-2024-9kg-43pt854sd-intel-core-i7-13650hx-16gb-1tb-ssd-rtx-4060-16-pt,
base speed,8,16,512,15.6,NVidia GeForce RTX 4080 Ti,2,Windows,,https://www.pccomponentes.com/gigabyte-g6x-9kg-43es864sd-intel-core-i7-13650hx-32gb-1tb-ssd-rtx-4060-16,
4,4,8,512,15.6,AMD Radeon™,4,Windows 11 Home,1.59,https://www.pccomponentes.com/hp-15-fc0014ns-amd-ryzen-3-7320u-8gb-512gb-ssd-156-azul-lunar,
4.3 GHz,8,8,512,15.6,AMD Radeon,4,Windows 11 Home,1.59,https://www.pccomponentes.com/hp-15-fc0030ns-amd-ryzen-5-7520u-8gb-512gb-ssd-156,
2.0 GHz,4,8,256,14,,3,Windows 11 Home in S mode,1.59,https://www.pccomponentes.com/hp-15-fc0087ns-amd-ryzen-3-7320u-8gb-256gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-15-fc0096ns-amd-ryzen-5-7520u-8gb-512gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-15-fc0131ns-amd-ryzen-7-7730u-16gb-512gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-15-fd0028ns-intel-core-i3-n305-8gb-256gb-ssd-156,
4.60GHz,10,8GB,512GB,15.6,Intel Iris Xe,3,Windows 11 Home,1.59kg,https://www.pccomponentes.com/hp-15-fd0054ns-intel-core-i5-1334u-8gb-512gb-ssd-156-azul-lunar,
,,,,,,,,,https://www.pccomponentes.com/hp-15-fd0065ns-intel-core-i3-n305-8gb-512gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-15-fd0094ns-intel-core-i7-1355u-16gb-1tb-ssd-156,
,0,,,,,,,,https://www.pccomponentes.com/portatil-hp-15-fd0097ns-intel-core-i5-1334u-16gb-1tb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-15-fd0128ns-intel-core-i5-1235u-16gb-512gb-ssd-156,
,0,,,,,,,,https://www.pccomponentes.com/portatil-hp-15-fd0136ns-intel-core-i5-1235u-16gb-512-gb-ssd-156,
2.7 GHz,8,16,512,15.6,NVidia RTX 4080 Ti,3,,,https://www.pccomponentes.com/portatil-hp-15-fd0144ns-intel-core-i5-1235u-8-gb-512gb-ssd-156,90
,0,0,0,0,,0,,0,https://www.pccomponentes.com/hp-15-fc0008np-amd-ryzen-7-7730u-16gb-512gb-ssd-156-pt,0
4.1 GHz,4,8 GB,256 GB,15.6 inches,AMD Radeon,3,Windows 11 Home in mode S,1.59 kg,https://www.pccomponentes.com/hp-15-fc0084ns-amd-ryzen-3-7320u-8gb-256gb-ssd-156,
Faster than 3.0 GHz,,8,512,14,,2,FreeDOS,1.59,https://www.pccomponentes.com/hp-15-fd0011ns-intel-core-i7-1355u-16gb-1tb-ssd-156,
2.8GHz,8,16,512,15.6,NVidia RTX 3080 Ti,3,Windows,,https://www.pccomponentes.com/hp-15-fd0018np-intel-core-i7-1355u-12gb-512gb-ssd-156-pt,80
,4,8,256,14,,2,Windows 11 Home,1.59,https://www.pccomponentes.com/hp-15-fd0036ns-intel-core-i3-n305-8gb-256gb-ssd-156,
"up to 4,6 GHz",10,16,512,15.6,Intel Iris Xe Graphics,3,Windows 11 Home 64 Bits,1.59,https://www.pccomponentes.com/hp-15-fd0076ns-intel-core-i5-1335u-16gb-512gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/hp-15s-eq1147ns-amd-athlon-silver-3050u-8gb-256gb-ssd-156,
4 GHz,6,8 GB,512 GB,15.6,AMD Radeon,3,Windows 11 Home,1.69 kg,https://www.pccomponentes.com/hp-15s-eq2090ns-amd-ryzen-5-5500u-8gb-512gb-ssd-156,
4,6,8,512,15.6,AMD Radeon,4,Windows 11 Home,1.69,https://www.pccomponentes.com/hp-15s-eq2095ns-amd-ryzen-5-5500u-8gb-512gb-ssd-156,41
,,,,,,0,,,https://www.pccomponentes.com/hp-15s-eq2104ns-amd-ryzen-5-5500u-8gb-512gb-ssd-156,
4.3 GHz,8,12,512,15.6,AMD Radeon,4,Windows 11 Home,1.69 kg,https://www.pccomponentes.com/hp-15s-eq2105ns-amd-ryzen-7-5700u-12gb-512gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-15s-eq2155ns-amd-ryzen-7-5700u-16gb-512gb-ssd-156,
2.0 GHz,4,8,256,15.6,,3,Windows 11 Home,1.69,https://www.pccomponentes.com/hp-15s-eq2185ns-amd-ryzen-7-5700u-8gb-512gb-ssd-156,
4.2 GHz,4,8,512,15.6,Intel Iris Xe Graphics,4,Windows 10 Home 64 bits,1.69,https://www.pccomponentes.com/hp-15s-fq2029ns-intel-core-i5-1135g7-8gb-512gb-ssd-156,
,,,,,,0,,,https://www.pccomponentes.com/hp-15s-fq2104ns-intel-core-i3-1115g4-4gb-256gb-ssd-156,
2.4 GHz,8,16,512,15.6,NVidia GeForce RTX 3080 Ti,3,Windows 11,,https://www.pccomponentes.com/hp-15s-fq2105ns-intel-core-i3-1115g4-8gb-512gb-ssd-156,
5.0 GHz,4,16 GB,512,15.6,Intel Iris Xe,3,FreeDOS,1.69 kg,https://www.pccomponentes.com/hp-15s-fq4037ns-intel-core-i7-1195g7-16gb-512gb-ssd-156,
4.5 GHz,4,8,256,15.6,Intel Iris Xe,3,FreeDOS,1.69,https://www.pccomponentes.com/hp-15s-fq4051ns-intel-core-i5-1155g7-8gb-256gb-ssd-156,
5.00 GHz,4,8,512,15.6,Intel Iris Xe,3,Windows 11 Home,1.69,https://www.pccomponentes.com/hp-15s-fq4102ns-intel-core-i7-1195g7-8gb-512gb-ssd-156,
4.4,10,8,512,15.6,Integrated: Gráficos Intelu00ae Irisu00ae Xe,4,Windows 11 Home,1.69,https://www.pccomponentes.com/hp-15s-fq5013ns-intel-core-i5-1235u-8gb-512gb-ssd-156,
"4,4 GHz",10,16,512,15.6,,3,Windows 11 Home,1.69,https://www.pccomponentes.com/hp-15s-fq5028ns-intel-core-i5-1235u-16gb-512gb-ssd-156,
4.4 GHz,10,8,512,15.6,Intel Iris Xe,3,FreeDOS,1.69,https://www.pccomponentes.com/hp-15s-fq5072ns-intel-core-i5-1235u-8gb-512gb-ssd-156,
,4,8,256,15.6,,3,FreeDOS,1.69,https://www.pccomponentes.com/hp-15s-fq5076ns-intel-core-i5-1235u-8gb-512gb-ssd-156,41
2.5 GHz,4,8,512,14,,1,FreeDOS,1.69,https://www.pccomponentes.com/hp-15s-fq5095ns-intel-core-i7-1255u-8gb-512gb-ssd-156,
,0,0,0,0,,0,,,https://www.pccomponentes.com/portatil-hp-15s-fq5122ns-intel-core-i5-1235u-16gb-512gb-ssd-156,
3.8,4,8,256,15.6,AMD Radeon,3,Windows 11 Home in mode S,1.69,https://www.pccomponentes.com/hp-15s-eq2089ns-amd-ryzen-3-5300u-8gb-256gb-ssd-156,
4.3 GHz,8,12 GB,512 GB,15.6,AMD Radeon,5,Windows 11 Home,1.69 kg,https://www.pccomponentes.com/hp-15s-eq2091ns-amd-ryzen-7-5700u-12gb-512gb-ssd-156,
4 GHz,6,16 GB,512 GB,15.6 inches,AMD Radeon,3,Windows 11 Home,1.69 kg,https://www.pccomponentes.com/hp-15s-eq2167ns-amd-ryzen-5-5500u-16gb-512gb-ssd-156,
,0,,,,,,,,https://www.pccomponentes.com/hp-15s-fq2159ns-intel-core-i3-1115g4-8gb-256gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/hp-15s-fq4027ns-intel-core-i5-1155g7-8gb-512gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/hp-15s-fq4045ns-intel-core-i7-1195g7-8gb-512gb-ssd-156,
4.7 GHz,10 cores,16,512,15.6,Intel Iris Xe,3,FreeDOS,1.69,https://www.pccomponentes.com/hp-15s-fq5101ns-intel-core-i7-1255u-16gb-512gb-ssd-156,
,0,,,,,0,,,https://www.pccomponentes.com/hp-15s-fq4056ns-intel-core-i7-1195g7-8gb-512gb-ssd-156,
"4,1 GHz",2,8,512,17.3,,4,Windows 11 Home,2.08,https://www.pccomponentes.com/hp-17-cn0014ns-intel-core-i3-1115g4-8gb-512gb-ssd-173,
4.5,6,8,256,15.6,Intel Uhd Graphics,3,Windows 11 Pro,2.35,https://www.pccomponentes.com/hp-250-g10-intel-core-i3-1315u-8gb-256gb-ssd-156,
2.5 GHz,8,16,512,15.6,NVidia RTX 3080 Ti,3,,,https://www.pccomponentes.com/portatil-hp-250-g10-intel-core-i5-1335u-16gb-512gb-ssd-156-de-silver,90
5 GHz,10,16,512,15.6,Intel Iris X,4,Windows 11 Pro,1.52,https://www.pccomponentes.com/hp-250-g10-intel-core-i7-1355u-16gb-512gb-ssd-156,
,0,,,,,0,,,https://www.pccomponentes.com/portatil-hp-250-g10-intel-core-i7-1355u-16gb-512gb-ssd-156-teclado-frances,
2.4 GHz,8,16 GB,512 GB,15.6 inches,Intel UHD Graphics,3,Windows 10 Pro 64 bits,1.74 kg,https://www.pccomponentes.com/hp-250-g8-intel-core-i5-1135g7-16gb-512gb-ssd-156,
,8,8,256,15.6,Intel UHD Graphics,4,Windows 10 home 64 bits,1.74,https://www.pccomponentes.com/hp-250-g8-intel-core-i5-1135g7-8-gb-256-gb-ssd-156,123000
2.4 GHz,4,8 GB,256 GB,15.6,Intel UHD Graphics,3,Windows 10 home 64 bits,1.74 kg,https://www.pccomponentes.com/hp-250-g8-intel-core-i5-1135g7-8-gb-256gb-ssd-156,
4.2 GHz,4,8,256,15.6,Intel Iris Xe,3,Windows 11 Home,1.74,https://www.pccomponentes.com/hp-250-g8-intel-core-i5-1135g7-8gb-256gb-ssd-156-gris,
2.4 Ghz,4,8,512,15.6,Intel UHD Graphics,4,Windows 10 Home,1.74,https://www.pccomponentes.com/hp-250-g8-intel-core-i5-1135g7-8gb-512gb-ssd-156,
2.5 GHz,8,16,512,15.6,NVidia GeForce GTX 1660 Ti,3,,,https://www.pccomponentes.com/hp-250-g9-intel-core-i5-1235u-16-gb-1tb-ssd-156,
2.5 GHz,8,16,512,15.6,NVidia RTX 3070 Ti,3,,,https://www.pccomponentes.com/hp-250-g9-intel-core-i5-1235u-16gb-1tb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/hp-250-g9-intel-core-i5-1235u-16gb-512-gb-ssd-156,
,0,,,,,,,,https://www.pccomponentes.com/portatil-hp-250-g9-intel-core-i5-1235u-8-gb-256-gb-ssd-156-teclado-frances,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-250-g9-intel-core-i5-1235u-8gb-256-gb-ssd-156-teclado-frances,
,0,,,,,,,,https://www.pccomponentes.com/hp-250-g9-intel-core-i7-1255u-8gb-512gb-ssd-156,
2.3 GHz,8,16,512,15.6,NVidia GeForce RTX 3080 Ti,2,,,https://www.pccomponentes.com/portatil-hp-250r-g9-intel-core-i3-1315u-8gb-256gb-ssd-156-teclado-frances,90
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-250r-g9-intel-core-i5-1335u-8gb-512gb-ssd-156,
1.8 GHz,,16,512,14,,3,Windows 11 Home,1.52,https://www.pccomponentes.com/portatil-hp-255-g10-amd-ryzen-3-7330u-8gb-256gb-ssd-156,3600
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-255-g10-amd-ryzen-5-7530u-16gb-512gb-ssd-156-teclado-frances,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-255-g10-amd-ryzen-5-7530u-8gb-256gb-ssd-156-teclado-frances,
,,,,,,,,,https://www.pccomponentes.com/hp-255-g7-amd-ryzen-3-3200u-8-gb-256gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/hp-255-g7-amd-ryzen-5-3500u-8-gb-256-gb-ssd-156,
,0,,,,,,,,https://www.pccomponentes.com/hp-255-g8-amd-3020e-8gb-256gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/hp-255-g9-amd-ryzen-3-5425u-8gb-256gb-ssd-156-teclado-frances,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-255-g9-amd-ryzen-5-5625u-8gb-512-gb-ssd-156-teclado-frances,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-255-g9-amd-ryzen-5-5625u-8gb-512gb-ssd-156-teclado-frances,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-470-g10-intel-core-i7-1355u-16gb-512gb-ssd-173-de,
,,,,,,,,,https://www.pccomponentes.com/hp-chromebook-14a-na1009ns-intel-pentium-silver-n6000-8gb-128gb-emmc-14,
up to 3.8?GHz,8,8,256,14,Integrated Intel UHD Graphics,4,ChromeOS,1.37,https://www.pccomponentes.com/portatil-hp-chromebook-plus-x360-14b-cd0005ns-intel-core-i3-n305-8gb-256gb-eufs-14-tactil,
up to 4.60GHz,10,16GB,512GB,13.5,Intel Iris Xe,2,Windows 11 Pro,990g,https://www.pccomponentes.com/hp-dragonfly-g4-intel-core-i5-1335u-16gb-512gb-ssd-135,
3.5 GHz,4,16,512,15.6,NVidia RTX 4080 Ti,2,,,https://www.pccomponentes.com/hp-dragonfly-g4-intel-core-i7-1355u-16gb-1tb-ssd-135-tatil-pt,
,0,,,,,,,,https://www.pccomponentes.com/hp-envy-x360-13-bf0003ns-intel-evo-core-i7-1250u-16gb-1tb-ssd-133-tactil,
2.4 GHz,8,16,512,,,3,Windows 11 Home,1.87,https://www.pccomponentes.com/portatil-hp-envy-x360-16-ac0000ns-intel-core-ultra-7-155u-32gb-1tb-ssd-16-tactil,68
4.8GHz,12,16,1,16,Intel ARC,5,Windows 11 Home,1.87,https://www.pccomponentes.com/hp-envy-x360-16-ac0007ns-intel-core-ultra-7-155u-16gb-1tb-ssd-16-tactil,
5,10,16,1,13.5,Intel Iris Xe,4,Windows 11 Pro 64 bits,990,https://www.pccomponentes.com/hp-elite-dragonfly-g4-intel-core-i7-1355u-16gb-1tb-ssd-135,45000
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-elite-x360-1040-g11-intel-core-ultra-5-125h-16gb-512gb-ssd-14-tactil-teclado-frances,
4.8 GHz,16,32,1,14,Intel Arc,7,Windows 11 Pro,1.38,https://www.pccomponentes.com/portatil-hp-elite-x360-1040-g11-intel-core-ultra-7-155h-32gb-1tb-ssd-14-tactil,
,0,,,,,,,,https://www.pccomponentes.com/portatil-hp-elite-x360-830-g11-intel-core-ultra-5-125u-16gb-512gb-ssd-133-tactil,
2.4GHz,8,16,512,15.6,NVidia GeForce GTX 1660 Ti,3,Windows 10 Home,,https://www.pccomponentes.com/hp-elitebook-1040-g10-intel-core-i5-1335u-16gb-512gb-ssd-14,94
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-elitebook-1040-g11-intel-core-ultra-5-125h-16gb-512gb-ssd-14-tactil-teclado-frances,
"4,8 GHz",16,32,1,14,Intel Arc,6,Windows 11 Pro,1.18,https://www.pccomponentes.com/portatil-hp-elitebook-1040-g11-intel-core-ultra-7-155h-32gb-1tb-ssd-14-tactil,
4.3 GHz,12,16,512,13.3,Intel Graphics,5,Windows 11 Pro,1.31,https://www.pccomponentes.com/portatil-hp-elitebook-630-g11-intel-core-ultra-5-125u-16gb-512gb-ssd-133,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-elitebook-640-g11-intel-core-ultra-5-125u-16-gb-512gb-ssd-14,
,0,,,,,0,,,https://www.pccomponentes.com/portatil-hp-elitebook-640-g11-intel-core-ultra-5-125u-16-gb-512gb-ssd-14-teclado-frances,
2.5 GHz,8,16,512,15.6,NVidia RTX 3070 Ti,3,,,https://www.pccomponentes.com/portatil-hp-elitebook-640-g11-intel-core-ultra-5-125u-16gb-512gb-ssd-14-teclado-frances,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-elitebook-640-g11-intel-core-ultra-7-155u-16gb-512gb-ssd-14-teclado-frances,
up to 4.60GHz,10 núcleos,16GB,512GB,14 pulgadas,Intel Iris Xe Graphics,4,Windows 11 Pro,1.41 kg,https://www.pccomponentes.com/hp-elitebook-640-intel-core-i5-1335u-16gb-512gb-ssd-14,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-elitebook-645-g11-amd-ryzen-5-7535u-16gb-512gb-ssd-14-teclado-frances,
2.9 GHz,6,16,512,14,AMD Radeon Graphics,4,Windows 11 Pro,1.39,https://www.pccomponentes.com/portatil-hp-elitebook-645-g11-amd-ryzen-5-pro-7535u-16gb-512gb-ssd-14,
,4,,,,,,,,https://www.pccomponentes.com/portatil-hp-elitebook-645-g11-amd-ryzen-5-pro-7535u-16gb-512gb-ssd-14-win11-pro,
4.40GHz,10,8,512,15.6,Intel Iris Xe Graphics,5,Windows 11 Pro,1.78,https://www.pccomponentes.com/hp-elitebook-650-g10-intel-core-i5-1335u-16gb-512gb-ssd-156,
2.4GHz,8,16,512,15.6,NVidia GeForce RTX 3070 Ti,3,,,https://www.pccomponentes.com/hp-elitebook-650-g10-intel-core-i5-1335u-8gb-ram-512gb-ssd-156-pt,
4.40GHz,10,8,512,15.6,Intel Iris Xe Graphics,4,Windows 11 Pro,1.74,https://www.pccomponentes.com/hp-elitebook-650-g9-intel-core-i5-1235u-8gb-512gb-ssd-156,
,Total cores,,,,,0,,,https://www.pccomponentes.com/portatil-hp-elitebook-660-g11-intel-core-ultra-5-125u-16gb-512-gb-ssd-16-teclado-frances,
2.4,8,16,512,15.6,NVidia RTX 4080 Ti,3,Windows 11,,https://www.pccomponentes.com/portatil-hp-elitebook-660-g11-intel-core-ultra-5-125u-16gb-512gb-ssd-16,80
,0,,,,,,,,https://www.pccomponentes.com/portatil-hp-elitebook-660-g11-intel-core-ultra-7-155u-16gb-512gb-ssd-16-teclado-frances,
2.7 GHz,4,16,512,14,Intel Iris Xe Graphics,3,Windows 11 Pro,1.74,https://www.pccomponentes.com/portatil-hp-elitebook-665-g11-amd-ryzen-5-pro-7535u-16gb-512gb-ssd-16,
,0,,,,,,,,https://www.pccomponentes.com/hp-elitebook-830-g10-intel-core-i7-1355u-16gb-ram-512gb-ssd-133-pt,
,0,,,,,,,,https://www.pccomponentes.com/portatil-hp-elitebook-830-g11-intel-core-ultra-5-125u-16gb-512gb-ssd-133-teclado-frances,
1.6 GHz,4,8 GB,256 GB,13.3,Intel UHD Graphics 620,5,Windows 10 Pro,1.33 kg,https://www.pccomponentes.com/hp-elitebook-830-g6-intel-core-i5-8265u-8gb-256gb-ssd-133,
1.6 GHz,4,16,512,13.3,Intel UHD Graphics 620,5,Microsoft Windows 10 Pro 64bits,1.23,https://www.pccomponentes.com/hp-elitebook-830-g7-intel-core-i5-10210u-16gb-512gb-ssd-133,
,,,,,,,,,https://www.pccomponentes.com/hp-elitebook-830-g8-intel-core-i5-1135g7-8gb-256gb-ssd-133,
4.4GHz,10,16,512,13.3,Intel Iris Xe,4,Windows 10 Pro 64 bits,1.27,https://www.pccomponentes.com/hp-elitebook-830-g9-intel-core-i5-1235u-16gb-512gb-ssd-133,
,0,,,,,,,,https://www.pccomponentes.com/portatil-hp-elitebook-835-g11-amd-ryzen-5-8540u-16gb-512gb-ssd-133-teclado-frances,
2.5 GHz,8,16,512,14,,2,,1.36,https://www.pccomponentes.com/hp-elitebook-840-g10-intel-core-i5-1340p-16gb-512gb-ssd-14,
,0,,,,,0,,,https://www.pccomponentes.com/portatil-hp-elitebook-840-g10-intel-core-i5-1345u-16gb-512gb-ssd-14,
4.5 GHz,14,16,512,14,Intel Arc,6,Windows 11 Pro,1.41,https://www.pccomponentes.com/portatil-hp-elitebook-840-g11-intel-core-ultra-5-125h-16gb-512gb-14,
2.8 GHz,4,16,512,15.6,NVidia RTX 4080 Ti,3,,,https://www.pccomponentes.com/portatil-hp-elitebook-840-g11-intel-core-ultra-5-125u-16gb-512-gb-ssd-14-teclado-frances,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-elitebook-840-g11-intel-core-ultra-5-125u-16gb-512gb-ssd-14-teclado-frances,
,,,,,,0,,,https://www.pccomponentes.com/portatil-hp-elitebook-840-g11-intel-core-ultra-7-155u-16gb-512gb-ssd-14-teclado-frances,
,,,,,,,,,https://www.pccomponentes.com/hp-elitebook-840-g5-intel-core-i5-8350u-8gb-256gb-ssd-14,
,0,0.0,0.0,0.0,,0,,0,https://www.pccomponentes.com/hp-elitebook-840-g6-intel-core-i7-8565u-16gb-512gb-ssd-14,0
,0,,,,,,,,https://www.pccomponentes.com/hp-elitebook-840-g7-intel-core-i5-10210u-8gb-256gb-ssd-14-tactil,
2.5 GHz,8,16,512,15.6,NVidia RTX 4080 Ti,3,,,https://www.pccomponentes.com/hp-elitebook-840-g8-intel-core-i5-1135g7-8-gb-256gb-ssd-14,
,,,,,,,,,https://www.pccomponentes.com/hp-elitebook-840-g8-intel-core-i5-1135g7-8gb-256gb-ssd-14,
,,,,,,,,,https://www.pccomponentes.com/hp-elitebook-840-g8-intel-core-i7-1165g7-16gb-512gb-ssd-14,
,0,,,,,,,,https://www.pccomponentes.com/hp-elitebook-850-g6-intel-core-i5-8265u-8gb-256gb-ssd-156,
1.6 GHz,4,8,256,15.6,Intel UHD Graphics 620,4,Windows 10 Pro,1.67,https://www.pccomponentes.com/hp-elitebook-850-g7-intel-core-i5-10210u-8gb-256gb-ssd-156,
1.8 GHz,4,16,512,15.6,Intel UHD Graphics 620,5,Windows 10 Pro 64 bits,1.67,https://www.pccomponentes.com/hp-elitebook-850-g7-intel-core-i7-10510u-16gb-512gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/hp-elitebook-850-g8-intel-core-i5-1135g7-8gb-256gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-elitebook-860-g11-intel-core-ultra-5-125h-32gb-512gb-ssd-16,
,0,,,,,,,,https://www.pccomponentes.com/portatil-hp-elitebook-860-g11-intel-core-ultra-5-125u-16gb-512-gb-ssd-16-teclado-frances,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-elitebook-860-g11-intel-core-ultra-5-125u-16gb-512gb-ssd-16-teclado-frances,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-elitebook-865-g11-amd-ryzen-5-8540u-16gb-512gb-ssd-16-teclado-frances,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-elitebook-ultra-g1q-ia-qualcomm-snapdragon-x-elite-x1e-78-100-16gb-1tb-ssd-14-tactil-teclado-frances,
,,,,,,,,,https://www.pccomponentes.com/hp-elitebook-x360-1030-g3-intel-core-i5-8250u-8gb-256gb-ssd-133-tactil,
,,,,,,,,,https://www.pccomponentes.com/hp-elitebook-x360-1040-g7-intel-core-i5-10210u-16gb-512gb-ssd-14-tactil,
2.5 GHz,4,16,512,15.6,NVidia GTX 1660 Ti,2,,,https://www.pccomponentes.com/hp-elitebook-830-g5-intel-core-i5-8250u-8gb-256gb-ssd-133,52000
,,,,,,,,,https://www.pccomponentes.com/hp-elitebook-830-g5-intel-core-i5-8350u-8gb-256gb-ssd-133,
,,,,,,,,,https://www.pccomponentes.com/hp-elitebook-830-g6-intel-core-i5-8265u-16gb-512gb-ssd-133,
,4,16,512,15.6,NVidia RTX 4080 Ti,3,,,https://www.pccomponentes.com/hp-elitebook-830-g6-intel-core-i5-8265u-8-gb-256gb-ssd-133,
2.7GHz,8,16,512,15.6,NVidia RTX 3070 Ti,3,Windows 11 Home,,https://www.pccomponentes.com/hp-elitebook-830-g6-intel-core-i5-8365u-16gb-512gb-ssd-133,
3.0 GHz,8,16,512,15.6,NVidia GeForce RTX 2070,2,,,https://www.pccomponentes.com/portatil-hp-elitebook-830-g7-intel-core-i7-10510u-8gb-256gb-ssd-133,
,,,,,,,,,https://www.pccomponentes.com/portatil-hp-elitebook-830-g9-intel-core-i5-1235u-8gb-256gb-ssd-133,
2.8 GHz,6,16,512,15.6,NVidia RTX 3080 Ti,2,,,https://www.pccomponentes.com/portatil-hp-elitebook-840-g10-intel-core-i5-1335u-16gb-512gb-ssd-14,
